Name,Stage,Note,Réponse
Máximo Bistrot,In progress,Insta chef - Insta Restau - Presse - WHATSAPP - mail info,
Em,In progress,"Insta chef, restau, press, WTP",
Pujol,In progress,"Insta chef, restau, press, WTP restau + press",
Meroma,In progress,"Insta chef, restau, mail info, mail resa",
Quintonil,In progress,"Insta chef, restau, mail contact",Non
Expendio de Maiz,In progress,"Insta chef, restau, mail contact, WTP",
Lardo,In progress,"Insta chef, restau, mail contact",Oui
Rosetta,In progress,"Insta chef, restau, mail chef presse",Non
"Contramar ",In progress,"Insta restau, mail, whatsapp",Non
Ticuchi,In progress,"Insta restau, chef, mail",
Tacos Charly,In progress,Insta restau,Oui
Taquería El Califa de León,In progress,"Insta restau, mail ",Non
Los Consentidos del Barrio,In progress,Insta restau,
Maizajo,In progress,"Insta restau, Insta chef, mail RP Press",
Esquina Común,In progress,"Insta restau, Insta chef",
Sud 777,In progress,"Insta Chef, insta restau",
Taqueria El Paisa,In progress,Instat Restau,
Pink Rambo,In progress,"Insta restau, Whatsapp",
Bajel,In progress,Insta restau et chef,
Fugaz,In progress,Insta restau,
Sarde,In progress,"Insta restau, chef, Whatsapp",
Ultramarinos Demar,In progress,"Insta restau, chef, Whatsapp",
Martínez,In progress,"Insta restau, chef, Whatsapp",
Sartoria,In progress,"Insta restau, chef, mail, whatsapp",
El Tigre Silencioso,In progress,Mail,
La 89,In progress,"Mail, insta restau\",
Cana,In progress,"Insta chef, insta restau, Whatsapp",
Barbacoa Gonzalitos,In progress,Insta restau,
Siembra Comedor,In progress,"Insta restau, mail",
La Opera,In progress,"Insta restau, mail, page info",
https://www.instagram.com/ciena___/ ,In progress,"Insta restau, whatsapp",
https://www.instagram.com/botanicomx/,In progress,"Insta chef, restau",Oui
https://www.instagram.com/anonimo.rest/ ,In progress,"Insta chef, restau, mail",
Vigneron,In progress,"Mail, Insta restau",
Tacos del Valle,In progress,Insta restau,
Plonk,In progress,"Insta restau, Insta chef",
Ricos Tacos Toluca,Done,Insta restau,Oui
Lina,In progress,"Insta restau, insta chef",
Casona Restaurante,In progress,"Insta restau, mail, page d’info press",
Voraz,In progress,"Insta restau, insta chef, mail",
Baldio,Done,"Insta restau, chef, mail",Oui
Hugo,In progress,"Insta restau, mail",
Comedor Jacinta,In progress,"Insta restau, chef",
Comal Oculto,In progress,Insta restau,
Molino El Pujol,In progress,Insta restau,
Los Danzantes Mexico City,In progress,"Insta restau, mail, whatsapp",
Lorea,In progress,"Insta restau, insta chef, whatsapp",
Bella Aurora,In progress,"Insta restau, chef",
Taquería El Jarocho,In progress,"Mail, insta restau",
Cariñito Tacos,In progress,Insta restau,
Guzina Oaxaca,In progress,"Insta restau, chef, mail",
Masala y Maíz,In progress,"Mail, whatsapp, insta chef, insta restau",Non
Pargot,Done,"Mail, insta restau, insta chef",Oui
Gaba,In progress,"Insta chef, whatsapp",
Taqueria Los Cocuyos,Not started,Pas de reseau,
Nicos,In progress,"Insta restau, Whatsapp",
Raíz,In progress,"Mail, insta restau",
Migrante,In progress,"Mail, tel, insta chef, insta restau",
Carmela y Sal,Not started,,
Tacos Los Alexis,Not started,,
Campobaja,Not started,,
Filigrana,Not started,,
MeroToro,Not started,,
Er Rre un Bistró,Not started,,
Malix,Not started,,
La Barra de Fran,Not started,,
Galea,Not started,,
Caracol de Mar,Not started,,
Almara,Not started,,
Azul Histórico,Not started,,
Fonda Fina,Not started,,
BALCON DEL ZOCALO,Not started,,
ESTIATORIO NOSTOS,Not started,,
Fonda Margarita,Not started,,
Mesa B,Not started,,
El Hidalguense,Not started,,
El Huequito,Not started,,
Bakéa,Not started,,
BICHI,Not started,,
QUINQUELA,Not started,,
CANTINA LUPITA,Not started,,
YAPAN,Not started,,
Encanto Fuego & Mar,Not started,,
PELOTA MESTIZA,Not started,,
BARRA LUPE,Not started,,
Bartola,Not started,,
Espelta,Not started,,
SUKAI,Not started,,
PEREZOSO,Not started,,
TACO TASTING ROOM,Not started,,
ALMAMÍA,Not started,,
Plotz,Not started,,
TAQUERÍA LA ESTRELLA,Not started,,
La Bonvi,Not started,,
DE PESCADORES,Not started,,
Abrasarme,Not started,,
EFE SIETE,Not started,,
Maleza,Not started,,
Charco,Not started,,
"Magazzino ",Not started,,
https://www.google.com/search?sca_esv=a065251458dca523&rlz=1C5CHFA_enNA1163NA1163&q=Chevere&si=AMgyJEs9DArPE9xmb5yVYVjpG4jqWDEKSIpCRSjmm88XZWnGNRPMulrCpMFZ2NLcTx_wg7bkZ5uMfdGc7NivG_JxFV0KJ3wsY02xuKb2Da_HZtn9-btaktY%3D&sa=X&ved=2ahUKEwjJx9LhjOyQAxVaQ6QEHYvIFZIQ_coHegQINhAB,Not started,,
Chuí,Not started,,
Fierro,Not started,,
Proprio,Not started,,
Abyssmo,Not started,,
Gia,Not started,,
"Feral ",Not started,,
Berta,Not started,,
Oly,Not started,,
Tacos Metero,Not started,,
Archiebald,Not started,,
Arrrco,Not started,,
La Once Mil,Not started,,
